"sample_submitter_id","MUC1","MUC12","MUC12-AS1","MUC13","MUC15","MUC16","MUC17","MUC19","MUC2","MUC20","MUC20-OT1","MUC20P1","MUC21","MUC22","MUC3A","MUC4","MUC5AC","MUC5B","MUC5B-AS1","MUC6","MUC7","MUCL1","MUCL3"
"TCGA-AZ-4614-01A",22.1862,1.6804,2.2004,680.0497,0,2.5511,64.0162,0,15.5136,40.4562,6.0119,30.918,0,0,57.1314,3.0187,0.9899,6.9066,0,55.978,0,0.0644,0.1576
"TCGA-AA-3532-01A",232.1784,49.447,3.756,555.6225,0.071,0.1221,0.6849,0,141.6725,22.9555,1.6649,8.5686,0,0,24.8165,35.0947,3.0811,45.4207,0,0.3925,0,0.0642,0
"TCGA-G4-6304-01A",181.6312,0.9085,0,316.8737,0,0.0782,0.0292,0.0436,44.8469,8.3318,3.0665,5.9487,0.1506,0,10.5987,21.1358,20.6936,78.9457,0,99.2172,0,0.3236,0
"TCGA-A6-4107-01A",33.4741,9.8333,3.079,328.8378,0.0873,0.0071,1.72,0.0106,25.2685,27.9212,2.0175,30.5207,0,0,6.0939,1.6791,0.1017,0.7524,0,0.0743,0.0373,1.7094,0.0184
"TCGA-AA-3522-01A",83.6972,6.4623,3.6508,764.6853,0.0414,0.0034,0.9809,0,325.2126,31.3173,1.8912,11.8517,0,0,16.6112,11.6844,1.073,8.5088,0,0.6339,0,0.4864,0
"TCGA-AA-3818-01A",19.3002,61.3235,3.459,326.943,0,0.0161,0.2395,0.0159,264.7008,30.8869,0.9799,28.8408,0,0,53.0796,0.9432,2.7165,1.0535,0,0.0139,0,0.1773,0.0207
"TCGA-AA-A01T-01A",59.2743,143.0434,14.3997,490.5988,0,0.0098,5.0394,0,204.7495,81.2667,3.1514,22.4625,0,0,53.9236,4.2432,0.7127,10.9832,0,0.1355,0,0.108,0
"TCGA-CM-4750-01A",21.1713,9.252,10.5158,375.7039,0,0.0473,1.174,0.0044,8.4573,25.533,2.1077,5.2496,0,0,51.9189,2.7826,0.0446,1.6039,0,0.1383,0,0.0327,0.1598
"TCGA-DM-A1D0-01A",20.1914,17.4212,1.196,358.66,0.0339,0,1.0877,0,2.2736,24.7403,6.313,8.0161,0.0962,0,15.9783,0.7371,0.0209,0.157,0,0.0769,0.029,5.1892,0.0214
"TCGA-CK-6746-01A",121.2144,0.1013,1.0151,199.9636,0,1.4987,0.0844,0.0644,1.6764,0.3142,3.8545,0.3443,0.1307,0.0275,27.3412,0.7507,62.0875,93.7323,0,179.9391,0,0,15.4459
"TCGA-AA-A02J-01A",37.8724,28.8282,2.0088,522.6304,0,0.0093,0.5286,0,67.2668,45.8205,3.8637,26.442,0.0359,0,92.717,5.2831,0.6795,5.4292,0,0.2099,0,0,0.024
"TCGA-CM-6165-01A",86.8271,162.7185,4.2876,714.6775,0,0.002,11.7045,0.003,232.5998,83.4495,4.0357,28.2532,0,0,38.4352,9.2644,0.135,87.1634,0,0.0517,0,0.022,0.0154
"TCGA-AA-A02W-01A",48.397,15.9399,3.6661,549.2045,0.0378,0.0309,0.8216,0,5.729,20.8118,5.5494,13.0799,0.3576,0.0451,32.8992,1.9487,3.0242,49.8217,0,0.3376,0,0.0342,0
"TCGA-AZ-6605-01A",42.9933,54.121,3.2456,399.7342,0.0194,0.0238,3.1135,0.0024,207.3899,19.4019,2.0779,12.3321,0,0,38.8308,12.7927,0.2789,9.6521,0,0.033,0,0.0525,0.0245
"TCGA-5M-AATE-01A",6.5852,5.933,3.339,326.302,0,0,10.577,0.0033,25.0203,12.9909,6.1003,14.0404,0.0256,0,37.2911,2.9276,0.4395,0.3236,0,0.092,0,0.0489,0
